filename,start,end
20230702_VALLADOLID.mp4,00:01.96,00:44.96
20230702_VALLADOLID.mp4,01:09.36,01:18.68
20230702_VALLADOLID.mp4,01:44.92,02:15.88
20230702_VALLADOLID.mp4,02:19.28,02:47.12
20230702_VALLADOLID.mp4,03:07.96,03:19.76
20230702_VALLADOLID.mp4,03:42.08,04:29.40
20230709_VALENCIA.mp4,00:02.08,00:55.88
20230709_VALENCIA.mp4,01:03.24,01:22.64
20230709_VALENCIA.mp4,01:37.44,02:10.56
20230709_VALENCIA.mp4,02:27.08,03:10.64
20230806_MALAGA.mp4,00:01.96,00:08.36
20230806_MALAGA.mp4,00:26.84,01:38.52
20230806_MALAGA.mp4,01:59.20,02:29.92
20230806_MALAGA.mp4,03:01.32,03:15.44
20230806_MALAGA.mp4,03:35.00,04:00.84
20230806_MALAGA.mp4,04:42.32,04:52.80
20230806_MALAGA.mp4,05:11.72,05:52.44
20230806_MALAGA.mp4,06:09.96,06:23.20
20230806_MALAGA.mp4,06:43.72,06:58.60
20230806_MALAGA.mp4,07:11.44,07:43.28
20230903_FINLAND.mp4,00:02.40,01:22.84
20230903_FINLAND.mp4,01:40.40,01:57.48
20230903_FINLAND.mp4,02:12.08,02:43.84
20230903_FINLAND.mp4,02:59.92,04:01.00
20230903_FINLAND.mp4,04:23.96,05:02.84
20230903_FINLAND.mp4,05:24.04,05:46.64
20230903_FINLAND.mp4,06:06.44,06:56.72
20230903_FINLAND.mp4,07:07.88,07:48.80
20230903_FINLAND.mp4,08:12.92,09:25.56
20230903_FINLAND.mp4,09:46.92,10:21.76
20230927_MADRID.mp4,00:01.88,00:47.96
20230927_MADRID.mp4,01:05.12,02:15.56
20230927_MADRID.mp4,02:38.15,03:01.72
20230927_MADRID.mp4,03:23.68,04:15.96
20230927_MADRID.mp4,04:41.32,04:58.28
20230927_MADRID.mp4,05:13.12,05:44.48
20230927_MADRID.mp4,06:02.68,06:28.04
20230927_MADRID.mp4,06:48.56,07:39.92
20230927_MADRID.mp4,08:05.00,08:12.68
20230927_MADRID.mp4,08:22.84,08:34.64
20230927_MADRID.mp4,09:04.72,10:04.44
20231008_DUITSLAND.mp4,00:01.68,01:03.60
20231008_DUITSLAND.mp4,01:25.80,02:40.96
20231008_DUITSLAND.mp4,03:03.04,03:44.16
20231008_DUITSLAND.mp4,04:06.04,04:37.48
20231008_DUITSLAND.mp4,04:47.64,05:24.64
20231008_DUITSLAND.mp4,05:43.16,06:11.56
20231008_DUITSLAND.mp4,06:27.24,07:18.68
20231015_AMSTERDAM.mp4,00:02.08,00:12.12
20231015_AMSTERDAM.mp4,00:25.32,00:57.40
20231015_AMSTERDAM.mp4,01:05.32,01:27.20
20231015_AMSTERDAM.mp4,01:43.80,02:26.44
20231015_AMSTERDAM.mp4,02:51.76,03:25.88
20231015_AMSTERDAM.mp4,03:44.92,04:24.16
20231015_AMSTERDAM.mp4,04:42.80,05:04.04
20231015_AMSTERDAM.mp4,05:20.08,05:45.60
20231015_AMSTERDAM.mp4,06:00.96,06:18.76
20231102_MENORCA.mp4,00:01.88,00:52.44
20231102_MENORCA.mp4,01:13.32,02:01.72
20231102_MENORCA.mp4,02:16.84,03:10.76
20231102_MENORCA.mp4,03:22.56,03:36.40
20231102_MENORCA.mp4,03:55.04,04:52.16
20231102_MENORCA.mp4,04:58.88,05:31.88
20231112_MALMO.mp4,00:01.96,00:40.20
20231112_MALMO.mp4,01:20.04,01:32.32
20231112_MALMO.mp4,01:50.80,02:49.36
20231112_MALMO.mp4,03:09.72,03:47.56
20231112_MALMO.mp4,04:33.20,05:16.92
20231112_MALMO.mp4,05:34.40,05:52.08
20231112_MALMO.mp4,06:00.12,06:28.48
20230528_VIGO.mp4,00:01.68,00:27.72
20230528_VIGO.mp4,00:45.68,01:40.40
20230528_VIGO.mp4,01:58.72,02:10.84
20230528_VIGO.mp4,02:19.84,02:41.12
20230528_VIGO.mp4,03:02.44,03:18.00
20230528_VIGO.mp4,03:44.44,04:00.88
20230528_VIGO.mp4,04:16.00,04:50.60
20230528_VIGO.mp4,05:07.80,05:33.44
20230528_VIGO.mp4,05:59.32,06:24.36
20230528_VIGO.mp4,06:38.76,07:27.00
20230528_VIGO.mp4,07:42.12,07:59.80
20230528_VIGO.mp4,08:20.32,09:24.64
20230528_VIGO.mp4,10:38.40,11:08.48
20230528_VIGO.mp4,11:24.44,11:29.48
20230528_VIGO.mp4,11:54.04,12:24.52
20230528_VIGO.mp4,12:40.40,13:29.20
20230528_VIGO.mp4,13:44.28,13:53.76
20230604_BRUSSEL.mp4,00:02.64,00:27.88
20230604_BRUSSEL.mp4,00:32.84,00:57.48
20230604_BRUSSEL.mp4,01:20.60,02:06.20
20230604_BRUSSEL.mp4,02:12.96,02:45.76
20230604_BRUSSEL.mp4,02:57.84,03:08.80
20230604_BRUSSEL.mp4,03:21.20,04:12.16
20230604_BRUSSEL.mp4,04:36.40,05:26.40
20230604_BRUSSEL.mp4,07:09.84,07:38.20
20230604_BRUSSEL.mp4,08:01.76,08:20.00
20230604_BRUSSEL.mp4,08:32.32,08:56.16
20230604_BRUSSEL.mp4,09:05.00,09:33.32
20230604_BRUSSEL.mp4,09:58.36,10:14.04
